epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,436.383,2.01161,3.64036,1.75797,0.28211,0.25792,0.19238,0.08026,2.09799,4.03763,1.88306,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,838.069,1.96381,2.68363,1.69945,0.33535,0.29811,0.23936,0.09819,2.13831,3.09289,1.89418,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659
3,1237.1,2.05812,2.62805,1.7958,0.26913,0.25734,0.18122,0.0719,2.23571,3.28683,2.00422,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796
4,1651.27,2.07472,2.62058,1.84635,0.32783,0.3143,0.24014,0.10169,2.11826,2.91761,1.91016,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2060.3,1.9765,2.44521,1.77168,0.38053,0.3437,0.29379,0.13015,2.01365,2.6716,1.81025,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2455.63,1.92463,2.32535,1.72213,0.43594,0.39147,0.35932,0.16325,1.95717,2.43498,1.74857,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2854.11,1.88214,2.25343,1.68851,0.47303,0.4163,0.3943,0.18353,1.91226,2.34058,1.71134,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3255.77,1.85076,2.18636,1.66267,0.46153,0.431,0.39389,0.18739,1.86153,2.32804,1.68094,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3673.12,1.82307,2.14368,1.64948,0.50438,0.44501,0.42951,0.2065,1.85231,2.2774,1.69455,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4084.17,1.80527,2.10358,1.62866,0.52791,0.45655,0.45923,0.22815,1.84697,2.18865,1.65341,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4496.6,1.79321,2.06836,1.61391,0.5019,0.45921,0.4484,0.22167,1.81903,2.18816,1.64107,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4913.83,1.7804,2.05511,1.60753,0.55271,0.47564,0.4895,0.2465,1.78512,2.1061,1.60312,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5330.52,1.76917,2.01072,1.59543,0.54489,0.48853,0.49719,0.25222,1.76968,2.1124,1.6043,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5746.3,1.75258,1.98396,1.57895,0.53844,0.49343,0.50395,0.25708,1.7541,2.02169,1.57564,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6146.02,1.74045,1.96768,1.57757,0.56815,0.49897,0.51955,0.26875,1.75098,1.98073,1.5643,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6545.92,1.74137,1.94712,1.5692,0.57172,0.50511,0.52477,0.27207,1.73847,1.97819,1.56196,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6960.77,1.7285,1.92304,1.56169,0.57551,0.51494,0.53256,0.2763,1.72194,1.93068,1.55559,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7372.29,1.72198,1.91566,1.54949,0.57251,0.50797,0.53439,0.28065,1.7061,1.91668,1.54353,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,7785.25,1.70955,1.8876,1.54599,0.58701,0.52257,0.5471,0.28964,1.71311,1.90164,1.54545,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,8193.49,1.70317,1.86869,1.53741,0.59763,0.52502,0.55579,0.29396,1.6902,1.86654,1.52157,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,8603.19,1.70002,1.87502,1.53361,0.60656,0.53595,0.56865,0.30267,1.69054,1.84856,1.51675,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,8995.18,1.69488,1.85112,1.53086,0.60075,0.53203,0.56633,0.30136,1.68523,1.84597,1.51359,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,9392.77,1.67885,1.83539,1.51799,0.60194,0.55046,0.57432,0.30701,1.68025,1.82023,1.51715,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,9803.35,1.67994,1.82879,1.51813,0.6059,0.55012,0.57754,0.3118,1.66806,1.8095,1.50129,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,10215.9,1.67733,1.81884,1.51374,0.61767,0.54208,0.58009,0.31261,1.66877,1.80216,1.50695,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,10629.9,1.66945,1.81892,1.51049,0.62058,0.54598,0.58603,0.31629,1.65544,1.78441,1.49696,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,11044.8,1.6669,1.80377,1.50986,0.61791,0.56107,0.59319,0.32103,1.64872,1.76141,1.48851,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,11452.1,1.65656,1.79146,1.50332,0.62642,0.55688,0.59218,0.32033,1.65124,1.75978,1.48879,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,11856.9,1.6591,1.77668,1.5036,0.61429,0.55865,0.59307,0.32199,1.65235,1.75915,1.48931,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,12266.7,1.65199,1.77305,1.49856,0.61378,0.56562,0.59436,0.32437,1.64304,1.75193,1.48373,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,12672.3,1.64477,1.76458,1.49162,0.61375,0.5666,0.59653,0.32661,1.63593,1.73875,1.48025,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,13065.3,1.64201,1.74215,1.48469,0.61915,0.5677,0.59967,0.32919,1.6332,1.72682,1.47622,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13473.2,1.62941,1.73382,1.48126,0.629,0.55834,0.59801,0.3301,1.62922,1.72402,1.47349,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,13887,1.63167,1.72327,1.47318,0.62327,0.56598,0.60168,0.33133,1.62537,1.71884,1.46832,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
